date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-01,109.02,109.02,109.02,109.02,108.679731023,0,0.0000,1.0
2021-06-30,108.49,108.49,108.49,108.49,108.151385238,0,0.0000,1.0
2021-06-29,108.43,108.43,108.43,108.43,108.091572508,0,0.0000,1.0
2021-06-28,108.43,108.43,108.43,108.43,108.091572508,0,0.0000,1.0
2021-06-25,108.26,108.26,108.26,108.26,107.922103105,0,0.0000,1.0
2021-06-24,107.88,107.88,107.88,107.88,107.543289147,0,0.0000,1.0
2021-06-23,107.16,107.16,107.16,107.16,106.825536383,0,0.3260,1.0
2021-06-22,107.51,107.51,107.51,107.51,106.849388911,0,0.0000,1.0
2021-06-21,106.94,106.94,106.94,106.94,106.28289136,0,0.0000,1.0
2021-06-18,105.44,105.44,105.44,105.44,104.792108332,0,0.0000,1.0
2021-06-17,106.82,106.82,106.82,106.82,106.163628718,0,0.0000,1.0
2021-06-16,106.9,106.9,106.9,106.9,106.243137146,0,0.0000,1.0
2021-06-15,107.42,107.42,107.42,107.42,106.759941929,0,0.0000,1.0
2021-06-14,107.72,107.72,107.72,107.72,107.058098535,0,0.0000,1.0
2021-06-11,107.57,107.57,107.57,107.57,106.909020232,0,0.0000,1.0
2021-06-10,107.22,107.22,107.22,107.22,106.561170859,0,0.0000,1.0
2021-06-09,106.78,106.78,106.78,106.78,106.123874504,0,0.0000,1.0
2021-06-08,107.06,107.06,107.06,107.06,106.402154003,0,0.0000,1.0
2021-06-07,106.88,106.88,106.88,106.88,106.223260039,0,0.0000,1.0
2021-06-04,106.74,106.74,106.74,106.74,106.08412029,0,0.0000,1.0
2021-06-03,105.84,105.84,105.84,105.84,105.189650473,0,0.0000,1.0
2021-06-02,106.33,106.33,106.33,106.33,105.676639595,0,0.0000,1.0
2021-06-01,106.19,106.19,106.19,106.19,105.537499846,0,0.0000,1.0
2021-05-28,106.12,106.12,106.12,106.12,105.467929972,0,0.0000,1.0
2021-05-27,106.03,106.03,106.03,106.03,105.37848299,0,0.0000,1.0
2021-05-26,105.77,105.77,105.77,105.77,105.120080598,0,0.0000,1.0
2021-05-25,105.35,105.35,105.35,105.35,104.70266135,0,0.0000,1.0
2021-05-24,105.64,105.64,105.64,105.64,104.990879403,0,0.0000,1.0
2021-05-21,104.62,104.62,104.62,104.62,103.977146943,0,0.0000,1.0
2021-05-20,104.66,104.66,104.66,104.66,104.016901157,0,0.0000,1.0
2021-05-19,103.52,103.52,103.52,103.52,102.883906056,0,0.0000,1.0
2021-05-18,103.87,103.87,103.87,103.87,103.231755429,0,0.0000,1.0
2021-05-17,104.65,104.65,104.65,104.65,104.006962604,0,0.0000,1.0
2021-05-14,104.89,104.89,104.89,104.89,104.245487888,0,0.0000,1.0
2021-05-13,103.16,103.16,103.16,103.16,102.526118129,0,0.0000,1.0
2021-05-12,101.98,101.98,101.98,101.98,101.353368814,0,0.0000,1.0
2021-05-11,104.4,104.4,104.4,104.4,103.758498766,0,0.0000,1.0
2021-05-10,105.16,105.16,105.16,105.16,104.513828833,0,0.0000,1.0
2021-05-07,106.46,106.46,106.46,106.46,105.805840791,0,0.0000,1.0
2021-05-06,105.56,105.56,105.56,105.56,104.911370974,0,0.0000,1.0
2021-05-05,104.96,104.96,104.96,104.96,104.315057763,0,0.0000,1.0
2021-05-04,105.02,105.02,105.02,105.02,104.374689084,0,0.0000,1.0
2021-05-03,105.87,105.87,105.87,105.87,105.219466134,0,0.0000,1.0
2021-04-30,105.66,105.66,105.66,105.66,105.01075651,0,0.0000,1.0
2021-04-29,106.49,106.49,106.49,106.49,105.835656452,0,0.0000,1.0
2021-04-28,106.0,106.0,106.0,106.0,105.348667329,0,0.0000,1.0
2021-04-27,106.08,106.08,106.08,106.08,105.428175757,0,0.0000,1.0
2021-04-26,106.09,106.09,106.09,106.09,105.438114311,0,0.0000,1.0
2021-04-23,105.71,105.71,105.71,105.71,105.060449277,0,0.0000,1.0
2021-04-22,104.44,104.44,104.44,104.44,103.79825298,0,0.0000,1.0
2021-04-21,105.26,105.26,105.26,105.26,104.613214369,0,0.0000,1.0
2021-04-20,104.13,104.13,104.13,104.13,103.490157821,0,0.0000,1.0
2021-04-19,105.0,105.0,105.0,105.0,104.354811977,0,0.0000,1.0
2021-04-16,105.7,105.7,105.7,105.7,105.050510724,0,0.0000,1.0
2021-04-15,105.4,105.4,105.4,105.4,104.752354118,0,0.0000,1.0
2021-04-14,104.28,104.28,104.28,104.28,103.639236124,0,0.0000,1.0
2021-04-13,104.61,104.61,104.61,104.61,103.96720839,0,0.0000,1.0
2021-04-12,104.23,104.23,104.23,104.23,103.589543356,0,0.0000,1.0
2021-04-09,104.25,104.25,104.25,104.25,103.609420463,0,0.0000,1.0
2021-04-08,103.57,103.57,103.57,103.57,102.933598824,0,0.0000,1.0
2021-04-07,103.0,103.0,103.0,103.0,102.367101273,0,0.0000,1.0
2021-04-06,103.06,103.06,103.06,103.06,102.426732594,0,0.0000,1.0
2021-04-05,103.06,103.06,103.06,103.06,102.426732594,0,0.0000,1.0
2021-04-01,101.79,101.79,101.79,101.79,101.164536297,0,0.0000,1.0
2021-03-31,100.5,100.5,100.5,100.5,99.8824628924,0,0.0000,1.0
2021-03-30,99.97,99.97,99.97,99.97,99.3557195557,0,0.0000,1.0
2021-03-29,100.02,100.02,100.02,100.02,99.4054123233,0,0.0000,1.0
2021-03-26,100.48,100.48,100.48,100.48,99.8625857853,0,0.0000,1.0
2021-03-25,98.86,98.86,98.86,98.86,98.2525401148,0,0.0000,1.0
2021-03-24,98.19,98.19,98.19,98.19,97.5866570289,0,0.3244,1.0
2021-03-23,99.37,99.37,99.37,99.37,98.4341995582,0,0.0000,1.0
2021-03-22,100.48,100.48,100.48,100.48,99.5337463179,0,0.0000,1.0
2021-03-19,99.93,99.93,99.93,99.93,98.9889258514,0,0.0000,1.0
2021-03-18,99.82,99.82,99.82,99.82,98.8799617581,0,0.0000,1.0
2021-03-17,101.59,101.59,101.59,101.59,100.633293078,0,0.0000,1.0
2021-03-16,101.25,101.25,101.25,101.25,100.296494971,0,0.0000,1.0
