date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-04-26,36.12,36.12,36.12,36.12,35.8051802467,0,0.0000,1.0
2021-04-23,36.03,36.03,36.03,36.03,35.7159646813,0,0.0000,1.0
2021-04-22,35.62,35.62,35.62,35.62,35.3095382167,0,0.0000,1.0
2021-04-21,35.83,35.83,35.83,35.83,35.5177078693,0,0.0000,1.0
2021-04-20,35.5,35.5,35.5,35.5,35.1905841295,0,0.0000,1.0
2021-04-19,35.85,35.85,35.85,35.85,35.5375335505,0,0.0000,1.0
2021-04-16,36.02,36.02,36.02,36.02,35.7060518407,0,0.0000,1.0
2021-04-15,35.87,35.87,35.87,35.87,35.5573592317,0,0.0000,1.0
2021-04-14,35.52,35.52,35.52,35.52,35.2104098107,0,0.0000,1.0
2021-04-13,35.57,35.57,35.57,35.57,35.2599740137,0,0.0000,1.0
2021-04-12,35.41,35.41,35.41,35.41,35.1013685641,0,0.0000,1.0
2021-04-09,35.5,35.5,35.5,35.5,35.1905841295,0,0.0000,1.0
2021-04-08,35.37,35.37,35.37,35.37,35.0617172017,0,0.0000,1.0
2021-04-07,35.16,35.16,35.16,35.16,34.8535475491,0,0.0000,1.0
2021-04-06,35.2,35.2,35.2,35.2,34.8931989115,0,0.0000,1.0
2021-04-05,35.23,35.23,35.23,35.23,34.9229374333,0,0.0000,1.0
2021-04-01,34.85,34.85,34.85,34.85,34.5462494905,0,0.0000,1.0
2021-03-31,34.41,34.41,34.41,34.41,34.1100845041,0,0.0000,1.0
2021-03-30,34.33,34.33,34.33,34.33,34.0307817793,0,0.0000,1.0
2021-03-29,34.35,34.35,34.35,34.35,34.0506074605,0,0.0000,1.0
2021-03-26,34.48,34.48,34.48,34.48,34.1794743883,0,0.0000,1.0
2021-03-25,33.94,33.94,33.94,33.94,33.6441809959,0,0.0000,1.0
2021-03-24,33.75,33.75,33.75,33.75,33.4558370245,0,0.0000,1.0
2021-03-23,34.05,34.05,34.05,34.05,33.7532222425,0,0.0000,1.0
2021-03-22,34.48,34.48,34.48,34.48,34.1794743883,0,0.0000,1.0
2021-03-19,34.32,34.32,34.32,34.32,34.0208689387,0,0.0883,1.0
2021-03-18,34.39,34.39,34.39,34.39,34.0027749933,0,0.0000,1.0
2021-03-17,34.85,34.85,34.85,34.85,34.4575954788,0,0.0000,1.0
2021-03-16,34.73,34.73,34.73,34.73,34.3389466565,0,0.0000,1.0
2021-03-15,34.77,34.77,34.77,34.77,34.378496264,0,0.0000,1.0
2021-03-12,34.6,34.6,34.6,34.6,34.2104104323,0,0.0000,1.0
2021-03-11,34.62,34.62,34.62,34.62,34.2301852361,0,0.0000,1.0
2021-03-10,34.16,34.16,34.16,34.16,33.7753647506,0,0.0000,1.0
2021-03-09,33.99,33.99,33.99,33.99,33.6072789189,0,0.0000,1.0
2021-03-08,33.47,33.47,33.47,33.47,33.0931340223,0,0.0000,1.0
2021-03-05,33.76,33.76,33.76,33.76,33.3798686762,0,0.0000,1.0
2021-03-04,33.3,33.3,33.3,33.3,32.9250481907,0,0.0000,1.0
2021-03-03,33.81,33.81,33.81,33.81,33.4293056855,0,0.0000,1.0
2021-03-02,34.12,34.12,34.12,34.12,33.7358151431,0,0.0000,1.0
2021-03-01,34.35,34.35,34.35,34.35,33.9632253859,0,0.0000,1.0
2021-02-26,33.59,33.59,33.59,33.59,33.2117828446,0,0.0000,1.0
2021-02-25,33.89,33.89,33.89,33.89,33.5084049004,0,0.0000,1.0
2021-02-24,34.62,34.62,34.62,34.62,34.2301852361,0,0.0000,1.0
2021-02-23,34.41,34.41,34.41,34.41,34.022549797,0,0.0000,1.0
2021-02-22,34.39,34.39,34.39,34.39,34.0027749933,0,0.0000,1.0
2021-02-19,34.69,34.69,34.69,34.69,34.2993970491,0,0.0000,1.0
2021-02-18,34.61,34.61,34.61,34.61,34.2202978342,0,0.0000,1.0
2021-02-17,34.83,34.83,34.83,34.83,34.4378206751,0,0.0000,1.0
2021-02-16,34.94,34.94,34.94,34.94,34.5465820956,0,0.0000,1.0
2021-02-12,34.86,34.86,34.86,34.86,34.4674828807,0,0.0000,1.0
2021-02-11,34.7,34.7,34.7,34.7,34.3092844509,0,0.0000,1.0
2021-02-10,34.56,34.56,34.56,34.56,34.1708608249,0,0.0000,1.0
2021-02-09,34.55,34.55,34.55,34.55,34.1609734231,0,0.0000,1.0
2021-02-08,34.48,34.48,34.48,34.48,34.09176161,0,0.0000,1.0
2021-02-05,34.19,34.19,34.19,34.19,33.8050269561,0,0.0000,1.0
2021-02-04,34.0,34.0,34.0,34.0,33.6171663208,0,0.0000,1.0
2021-02-03,33.76,33.76,33.76,33.76,33.3798686762,0,0.0000,1.0
2021-02-02,33.69,33.69,33.69,33.69,33.3106568632,0,0.0000,1.0
2021-02-01,33.27,33.27,33.27,33.27,32.8953859851,0,0.0000,1.0
2021-01-29,32.69,32.69,32.69,32.69,32.3219166773,0,0.0000,1.0
2021-01-28,33.36,33.36,33.36,33.36,32.9843726018,0,0.0000,1.0
2021-01-27,33.08,33.08,33.08,33.08,32.7075253498,0,0.0000,1.0
2021-01-26,33.89,33.89,33.89,33.89,33.5084049004,0,0.0000,1.0
2021-01-25,34.0,34.0,34.0,34.0,33.6171663208,0,0.0000,1.0
2021-01-22,33.94,33.94,33.94,33.94,33.5578419097,0,0.0000,1.0
2021-01-21,34.07,34.07,34.07,34.07,33.6863781338,0,0.0000,1.0
2021-01-20,34.08,34.08,34.08,34.08,33.6962655357,0,0.0000,1.0
2021-01-19,33.69,33.69,33.69,33.69,33.3106568632,0,0.0000,1.0
2021-01-15,33.38,33.38,33.38,33.38,33.0041474055,0,0.0000,1.0
2021-01-14,33.73,33.73,33.73,33.73,33.3502064706,0,0.0000,1.0
2021-01-13,33.66,33.66,33.66,33.66,33.2809946576,0,0.0000,1.0
2021-01-12,33.64,33.64,33.64,33.64,33.2612198539,0,0.0000,1.0
2021-01-11,33.51,33.51,33.51,33.51,33.1326836297,0,0.0000,1.0
2021-01-08,33.77,33.77,33.77,33.77,33.389756078,0,0.0000,1.0
2021-01-07,33.51,33.51,33.51,33.51,33.1326836297,0,0.0000,1.0
2021-01-06,33.12,33.12,33.12,33.12,32.7470749572,0,0.0000,1.0
2021-01-05,32.93,32.93,32.93,32.93,32.5592143219,0,0.0000,1.0
2021-01-04,32.58,32.58,32.58,32.58,32.2131552568,0,0.0000,1.0
2020-12-31,32.82,32.82,32.82,32.82,32.4504529014,0,0.0000,1.0
2020-12-30,32.75,32.75,32.75,32.75,32.3812410884,0,0.0000,1.0
2020-12-29,32.63,32.63,32.63,32.63,32.2625922661,0,0.0000,1.0
2020-12-28,32.57,32.57,32.57,32.57,32.203267855,0,0.0000,1.0
2020-12-24,32.39,32.39,32.39,32.39,32.0252946215,0,0.0000,1.0
2020-12-23,32.34,32.34,32.34,32.34,31.9758576122,0,0.0000,1.0
2020-12-22,32.18,32.18,32.18,32.18,31.8176591825,0,0.0000,1.0
2020-12-21,32.25,32.25,32.25,32.25,31.8868709955,0,0.0000,1.0
2020-12-18,32.48,32.48,32.48,32.48,32.1142812382,0,0.1942,1.0
2020-12-17,32.77,32.77,32.77,32.77,32.2084395693,0,0.0000,1.0
2020-12-16,32.53,32.53,32.53,32.53,31.9725523098,0,0.0000,1.0
2020-12-15,32.43,32.43,32.43,32.43,31.8742659516,0,0.0000,1.0
